"",323963,338596
"POINT (-87.9030396611 41.9790708201)",108725,131704
"POINT (-87.6327464887 41.8809944707)",97218,103316
"POINT (-87.6572331997 41.8852813201)",82955,83396
"POINT (-87.6209929134 41.8849871918)",69270,74292
"POINT (-87.6318639497 41.8920421365)",59019,56450
"POINT (-87.6378442095 41.8932163595)",51873,50566
"POINT (-87.6635175498 41.874005383)",48830,51114
"POINT (-87.6333080367 41.899602111)",46736,47534
"POINT (-87.6262149064 41.8925077809)",46316,45078
"POINT (-87.913624596 41.9802643146)",41316,58667
"POINT (-87.6173580061 41.859349715)",40752,39352
"POINT (-87.6559981815 41.9442266014)",40549,37367
"POINT (-87.6188683546 41.8909220259)",37993,38157
"POINT (-87.6428084655 41.8853000224)",37765,36793
"POINT (-87.6763559892 41.9012069941)",37356,35774
"POINT (-87.7560467111 41.8906088526)",37102,35637
"POINT (-87.642648998 41.8792550844)",35844,41209
"POINT (-87.6991553432 41.9227606205)",33503,31112
"POINT (-87.6012851221 41.7904693995)",29445,23998
"POINT (-87.6262105324 41.8991556134)",26280,27137
"POINT (-87.6288741572 41.8920726347)",26262,24513
"POINT (-87.6197106717 41.8950334495)",26175,31586
"POINT (-87.6251921424 41.8788655841)",25672,29856
"POINT (-87.7509342894 41.785998518)",25347,27646
"POINT (-87.6219716519 41.8774061234)",24499,27001
"POINT (-87.6221729369 41.8706073724)",23189,21458
"POINT (-87.657005027 41.8790669938)",22263,20002
"POINT (-87.7655016086 41.9272609555)",21673,20492
"POINT (-87.5727819867 41.7615779081)",21534,21045
"POINT (-87.6494887289 41.9226862843)",21506,20973
"POINT (-87.6634164054 41.9867117999)",19951,19530
"POINT (-87.6499072264 41.9049353016)",19804,20077
"POINT (-87.7172201 41.8601900192)",19768,19534
"POINT (-87.6563059862 41.7442051463)",19636,19026
"POINT (-87.6950125892 42.001571027)",19117,18562
"POINT (-87.6357600901 41.9074919303)",19026,18107
"POINT (-87.6314065252 41.8710158803)",18976,16631
"POINT (-87.7209182385 41.9000696026)",18885,18904
"POINT (-87.7234523905 41.9535821253)",18717,17991
"POINT (-87.714003807 41.8390869059)",18667,18366
"POINT (-87.6233665115 41.7065878819)",18620,17986
"POINT (-87.6701668569 42.0096228806)",18048,17041
"POINT (-87.6207628651 41.8983317935)",17673,18465
"POINT (-87.6161341112 41.7632467988)",17444,16765
"POINT (-87.7633990316 41.9540276487)",17327,16478
"POINT (-87.7696154528 41.7925923603)",17073,19794
"POINT (-87.6429586652 41.8679024175)",16733,18719
"POINT (-87.592310855 41.794090253)",16308,16279
"POINT (-87.6558787862 41.96581197)",16266,15852
"POINT (-87.6317173661 41.9146162864)",16230,15849
"POINT (-87.6159695226 41.7402057565)",15799,15134
"POINT (-87.6665962653 41.7759288274)",15764,15289
"POINT (-87.6321092196 41.9002656868)",15613,14437
"POINT (-87.667569312 41.8502663663)",15328,15654
"POINT (-87.6291051864 41.9002212967)",15096,13501
"POINT (-87.6178596758 41.8129489392)",14962,14486
"POINT (-87.695666342 41.7718485152)",14953,14333
"POINT (-87.6838349425 41.9477915865)",14605,13764
"POINT (-87.6591665992 41.8090182499)",14563,14446
"POINT (-87.6536139825 41.8983058696)",14559,14968
"POINT (-87.6525344838 41.8926581076)",14484,12905
"POINT (-87.6129454143 41.8919715078)",14438,13536
"POINT (-87.6424975271 41.7771962546)",14437,14159
"POINT (-87.7215590627 41.968069)",14405,13311
"POINT (-87.5949254391 41.7788768603)",13982,13937
"POINT (-87.6753116216 41.906025969)",13977,12982
"POINT (-87.7112105933 41.9386661962)",13940,12620
"POINT (-87.6241352979 41.8492467545)",13788,13161
"POINT (-87.7058971305 41.8789144956)",13617,13193
"POINT (-87.6875155152 41.9751709433)",13577,13186
"POINT (-87.6750856208 41.8704150003)",13427,15940
"POINT (-87.6517705068 41.9426918444)",12248,11154
